time_period,geographic_level,region_name,la_name,breakdown,characteristic_gender,characteristic_ethnic_major,characteristic_free_school_meals,characteristic_first_language,t_schools,t_pupils,t_att8,avg_att8,t_entbasics,pt_entbasics,t_l2basics_95,pt_l2basics_95,t_l2basics_94,pt_l2basics_94,t_ebacc_e_ptq_ee,pt_ebacc_e_ptq_ee,t_ebacc_95,pt_ebacc_95,t_ebacc_94,pt_ebacc_94,t_ebaccaps,avg_ebaccaps
202122,Local authority,West Midlands,Sandwell,First language,Girls,Total,Total,Other than English,20.0,538.0,28293.5,52.6,529.0,98.3,286.0,53.2,380.0,70.6,213.0,39.6,104.0,19.3,154.0,28.6,2411.63,4.48
202122,Local authority,West Midlands,Shropshire,First language,Girls,Total,Total,English,22.0,1322.0,66678.25,50.4,1299.0,98.3,647.0,48.9,951.0,71.9,562.0,42.5,265.0,20.0,373.0,28.2,5821.27,4.4
202122,Local authority,West Midlands,Shropshire,First language,Girls,Total,Total,Other than English,15.0,40.0,2240.0,56.0,39.0,97.5,26.0,65.0,30.0,75.0,20.0,50.0,12.0,30.0,16.0,40.0,205.85,5.15
202122,Local authority,West Midlands,Solihull,First language,Girls,Total,Total,Other than English,15.0,110.0,6579.25,59.8,107.0,97.3,76.0,69.1,92.0,83.6,73.0,66.4,42.0,38.2,54.0,49.1,608.19,5.53
202122,Local authority,West Midlands,Solihull,First language,Girls,Total,Total,English,20.0,1406.0,73955.5,52.6,1379.0,98.1,769.0,54.7,1032.0,73.4,635.0,45.2,371.0,26.4,470.0,33.4,6418.71,4.57
202122,Local authority,West Midlands,Staffordshire,First language,Girls,Total,Total,English,65.0,4082.0,204951.0,50.2,3977.0,97.4,1996.0,48.9,2881.0,70.6,1415.0,34.7,748.0,18.3,1027.0,25.2,17316.43,4.24
202122,Local authority,West Midlands,Staffordshire,First language,Girls,Total,Total,Other than English,41.0,253.0,13068.25,51.7,250.0,98.8,130.0,51.4,176.0,69.6,85.0,33.6,53.0,20.9,70.0,27.7,1123.28,4.44
202122,Local authority,West Midlands,Stoke-on-Trent,First language,Girls,Total,Total,English,18.0,1059.0,48750.51,46.0,1017.0,96.0,432.0,40.8,662.0,62.5,297.0,28.0,142.0,13.4,197.0,18.6,4006.63,3.78
202122,Local authority,West Midlands,Stoke-on-Trent,First language,Girls,Total,Total,Other than English,17.0,250.0,11969.25,47.9,243.0,97.2,109.0,43.6,169.0,67.6,94.0,37.6,31.0,12.4,56.0,22.4,1013.97,4.06
202122,Local authority,West Midlands,Telford and Wrekin,First language,Girls,Total,Total,English,15.0,948.0,46413.75,49.0,921.0,97.2,429.0,45.3,595.0,62.8,379.0,40.0,215.0,22.7,284.0,30.0,4060.78,4.28
202122,Local authority,West Midlands,Telford and Wrekin,First language,Girls,Total,Total,Other than English,12.0,106.0,5753.25,54.3,105.0,99.1,56.0,52.8,72.0,67.9,58.0,54.7,34.0,32.1,43.0,40.6,526.86,4.97
202122,Local authority,West Midlands,Walsall,First language,Girls,Total,Total,English,21.0,1431.0,68398.25,47.8,1402.0,98.0,638.0,44.6,926.0,64.7,511.0,35.7,247.0,17.3,326.0,22.8,5715.68,3.99
