time_period,geographic_level,region_name,la_name,breakdown,characteristic_gender,characteristic_ethnic_major,characteristic_free_school_meals,characteristic_first_language,t_schools,t_pupils,t_att8,avg_att8,t_entbasics,pt_entbasics,t_l2basics_95,pt_l2basics_95,t_l2basics_94,pt_l2basics_94,t_ebacc_e_ptq_ee,pt_ebacc_e_ptq_ee,t_ebacc_95,pt_ebacc_95,t_ebacc_94,pt_ebacc_94,t_ebaccaps,avg_ebaccaps
202122,Local authority,North West,Knowsley,Ethnic major,Girls,Unclassified,Total,Total,4.0,9.0,408.25,45.4,9.0,100.0,2.0,22.2,4.0,44.4,3.0,33.3,1.0,11.1,1.0,11.1,35.32,3.92
202122,Local authority,North West,Knowsley,Ethnic major,Girls,White,Total,Total,9.0,495.0,18995.5,38.4,464.0,93.7,131.0,26.5,243.0,49.1,145.0,29.3,33.0,6.7,59.0,11.9,1567.26,3.17
202122,Local authority,North West,Lancashire,Ethnic major,Girls,Asian,Total,Total,55.0,768.0,41857.0,54.5,751.0,97.8,439.0,57.2,588.0,76.6,417.0,54.3,219.0,28.5,300.0,39.1,3733.79,4.86
202122,Local authority,North West,Lancashire,Ethnic major,Girls,Black,Total,Total,22.0,26.0,1343.5,51.7,24.0,92.3,14.0,53.8,18.0,69.2,9.0,34.6,5.0,19.2,5.0,19.2,118.34,4.55
202122,Local authority,North West,Lancashire,Ethnic major,Girls,Chinese,Total,Total,10.0,17.0,1236.0,72.7,17.0,100.0,15.0,88.2,17.0,100.0,11.0,64.7,10.0,58.8,11.0,64.7,115.34,6.78
202122,Local authority,North West,Lancashire,Ethnic major,Girls,Mixed,Total,Total,66.0,203.0,10622.75,52.3,195.0,96.1,114.0,56.2,146.0,71.9,78.0,38.4,50.0,24.6,65.0,32.0,921.12,4.54
202122,Local authority,North West,Lancashire,Ethnic major,Girls,Other,Total,Total,16.0,21.0,1019.5,48.5,21.0,100.0,8.0,38.1,12.0,57.1,10.0,47.6,3.0,14.3,6.0,28.6,89.48,4.26
202122,Local authority,North West,Lancashire,Ethnic major,Girls,Unclassified,Total,Total,35.0,83.0,4063.75,49.0,81.0,97.6,36.0,43.4,54.0,65.1,28.0,33.7,12.0,14.5,19.0,22.9,344.13,4.15
202122,Local authority,North West,Lancashire,Ethnic major,Girls,White,Total,Total,96.0,5210.0,258583.75,49.6,5068.0,97.3,2583.0,49.6,3604.0,69.2,1810.0,34.7,990.0,19.0,1275.0,24.5,22181.27,4.26
202122,Local authority,North West,Liverpool,Ethnic major,Girls,Asian,Total,Total,24.0,102.0,6270.5,61.5,99.0,97.1,74.0,72.5,87.0,85.3,68.0,66.7,47.0,46.1,57.0,55.9,584.15,5.73
202122,Local authority,North West,Liverpool,Ethnic major,Girls,Black,Total,Total,25.0,115.0,5717.0,49.7,111.0,96.5,62.0,53.9,78.0,67.8,48.0,41.7,33.0,28.7,39.0,33.9,501.48,4.36
202122,Local authority,North West,Liverpool,Ethnic major,Girls,Chinese,Total,Total,8.0,21.0,1592.0,75.8,21.0,100.0,20.0,95.2,20.0,95.2,19.0,90.5,18.0,85.7,18.0,85.7,155.85,7.42
202122,Local authority,North West,Liverpool,Ethnic major,Girls,Mixed,Total,Total,26.0,170.0,8821.0,51.9,166.0,97.6,93.0,54.7,122.0,71.8,81.0,47.6,41.0,24.1,55.0,32.4,777.0,4.57
202122,Local authority,North West,Liverpool,Ethnic major,Girls,Other,Total,Total,21.0,110.0,5020.0,45.6,106.0,96.4,47.0,42.7,68.0,61.8,44.0,40.0,19.0,17.3,24.0,21.8,433.36,3.94
202122,Local authority,North West,Liverpool,Ethnic major,Girls,Unclassified,Total,Total,13.0,28.0,1302.75,46.5,28.0,100.0,11.0,39.3,17.0,60.7,8.0,28.6,4.0,14.3,5.0,17.9,110.85,3.96
202122,Local authority,North West,Liverpool,Ethnic major,Girls,White,Total,Total,31.0,2014.0,93837.25,46.6,1937.0,96.2,877.0,43.5,1270.0,63.1,811.0,40.3,394.0,19.6,572.0,28.4,7986.86,3.97
202122,Local authority,North West,Manchester,Ethnic major,Girls,Asian,Total,Total,29.0,816.0,43148.25,52.9,800.0,98.0,474.0,58.1,618.0,75.7,496.0,60.8,229.0,28.1,305.0,37.4,3959.15,4.85
202122,Local authority,North West,Manchester,Ethnic major,Girls,Black,Total,Total,27.0,587.0,31080.5,52.9,580.0,98.8,308.0,52.5,432.0,73.6,253.0,43.1,132.0,22.5,178.0,30.3,2718.97,4.63
202122,Local authority,North West,Manchester,Ethnic major,Girls,Chinese,Total,Total,13.0,27.0,1886.0,69.9,27.0,100.0,22.0,81.5,26.0,96.3,13.0,48.1,11.0,40.7,12.0,44.4,169.16,6.27
